
1.7

k	D1 Error	D2 Error
0	7.167966e+00	4.518039e+00
1	6.480005e-01	9.748838e-02
2	5.431114e-02	9.453393e-04
3	5.344396e-03	9.450529e-06
4	5.335875e-04	9.450397e-08
5	5.335026e-05	9.499130e-10
6	5.334628e-06	1.047984e-10
7	5.340235e-07	6.223910e-12
8	2.554135e-08	7.765337e-09
9	1.587681e-07	4.774581e-08
10	1.173500e-06	6.327649e-08
11	1.449618e-05	3.393946e-06
12	1.853440e-04	7.432167e-05
13	3.811459e-03	1.591013e-03
14	6.031905e-03	6.031905e-03
15	3.492395e-01	2.382172e-01
16	3.425519e+00	1.205073e+00

